Time [s]	Amp[A]
2.225535  1.07
2.226035  1.01
2.226536  1.03
2.227037  1.03
2.227538  0.97
2.228040  1.01
2.228541  0.97
2.229041  1.04
2.229542  1.07
2.230044  1.03
2.230544  0.92
2.231045  0.97
2.231546  1.09
2.232048  1.00
2.232549  1.14
2.233050  1.04
2.233551  0.98
2.234053  1.06
2.234553  1.12
2.235054  1.12
2.235556  0.97
2.236057  1.14
2.236557  0.93
2.237059  1.14
2.237559  1.09
2.238060  1.01
2.238561  1.10
2.239063  0.92
2.239564  1.04
2.240065  0.86
2.240566  0.95
2.241067  1.03
7.475536  0.51
7.476036  0.48
7.476537  0.59
7.477038  0.53
7.477539  0.56
7.478041  0.63
7.478542  0.47
7.479043  0.61
7.479544  0.50
7.480045  0.67
7.480546  0.56
7.481048  0.59
7.481548  0.50
7.482049  0.51
7.482551  0.56
7.483051  0.56
7.483552  0.54
7.484053  0.64
7.484554  0.50
7.485055  0.67
7.485557  0.66
7.486059  0.57
7.486559  0.56
7.487061  0.57
7.487561  0.37
7.488062  0.61
7.488563  0.61
7.489064  0.45
7.489566  0.53
7.490067  0.48
7.490567  0.67
7.491069  0.51
7.491570  0.39
7.492071  0.54
7.492572  0.70
7.493073  0.42
7.493574  0.50
7.494075  0.66
7.494576  0.42
7.495077  0.54
7.495578  0.53
7.496079  0.44
7.496580  0.61
7.497081  0.47
7.497582  0.54
7.498083  0.51
7.498584  0.53
7.499085  0.61
7.499587  0.63
7.500087  0.48
7.500588  0.56
7.501089  0.54
7.501590  0.48
7.502091  0.44
7.502593  0.63
7.503093  0.63
7.503594  0.54
7.504095  0.51
7.504596  0.56
7.505098  0.51
7.505599  0.44
7.506100  0.61
7.506601  0.50
7.507101  0.50
7.507603  0.47
7.508103  0.37
7.508605  0.75
7.509106  0.44
7.509608  0.47
7.510108  0.47
7.510609  0.69
7.511111  0.57
7.511613  0.45
7.512113  0.51
7.512614  0.64
7.513115  0.56
7.513616  0.42
7.514117  0.63
7.514618  0.57
7.515119  0.66
7.515621  0.57
7.516121  0.51
7.516622  0.63
7.517124  0.51
7.517624  0.54
7.518125  0.64
7.518626  0.45
7.519128  0.47
7.519629  0.56
7.520130  0.51
7.520632  0.72
7.521132  0.63
7.521633  0.63
7.522134  0.61
7.522635  0.50
7.523136  0.59
7.523637  0.59
7.524139  0.53
7.524640  0.57
7.525141  0.47
7.525643  0.51
7.526144  0.59
7.526645  0.64
7.527146  0.59
7.527647  0.48
7.528148  0.54
7.528649  0.59
7.529151  0.54
7.529652  0.61
7.530154  0.51
7.530656  0.57
7.531156  0.66
7.531657  0.56
7.532159  0.73
7.532659  0.47
7.533160  0.69
7.533661  0.59
7.534163  0.73
7.534663  0.47
7.535164  0.54
7.535665  0.66
7.536167  0.53
7.536667  0.59
7.537168  0.50
7.537669  0.66
7.538170  0.57
7.538671  0.56
7.539172  0.57
7.539673  0.44
7.540175  0.61
7.540676  0.56
7.541178  0.70
7.541678  0.61
7.542179  0.59
7.542680  0.63
7.543181  0.34
7.543682  0.45
7.544183  0.37
7.544684  0.50
7.545185  0.50
7.545687  0.50
7.546188  0.37
7.546688  0.37
7.547189  0.50
7.547690  0.48
7.548191  0.37
7.548693  0.53
7.549194  0.36
7.549695  0.53
7.550195  0.39
7.550696  0.54
7.551197  0.50
7.551699  0.42
7.552199  0.63
7.552701  0.69
7.553201  0.67
7.553703  0.59
7.554204  0.56
7.554705  0.63
7.555205  0.56
7.555706  0.42
7.556207  0.54
7.556708  0.59
7.557210  0.69
7.557710  0.48
7.558211  0.54
7.558712  0.57
7.559213  0.64
7.559714  0.66
7.560216  0.66
7.560718  0.70
7.561219  0.61
7.561720  0.54
7.562221  0.48
7.562723  0.44
7.563224  0.50
7.563724  0.56
7.564226  0.51
7.564728  0.56
7.565228  0.56
7.565729  0.67
7.566230  0.50
7.566731  0.56
7.567232  0.54
7.567733  0.56
7.568235  0.56
7.568735  0.63
7.569237  0.64
7.569738  0.51
7.570238  0.63
7.570740  0.57
7.571240  0.63
7.571741  0.44
7.572243  0.47
7.572743  0.63
7.573245  0.76
7.573747  0.61
7.574247  0.61
7.574748  0.57
7.575249  0.59
7.575750  0.59
7.576251  0.61
7.576752  0.73
7.577253  0.56
7.577754  0.56
7.578256  0.53
7.578756  0.59
7.579257  0.72
7.579758  0.42
7.580259  0.57
7.580760  0.56
7.581261  0.61
7.581762  0.70
7.582264  0.64
7.582765  0.48
7.583266  0.57
7.583767  0.61
7.584268  0.54
7.584770  0.51
7.585270  0.64
7.585771  0.57
7.586273  0.53
7.586773  0.63
7.587274  0.64
7.587776  0.59
7.588277  0.64
7.588779  0.57
7.589279  0.72
7.589781  0.51
7.590281  0.64
7.590782  0.78
7.591284  0.56
7.591785  0.67
7.592286  0.63
7.592787  0.61
7.593288  0.72
7.593789  0.53
7.594290  0.66
7.594791  0.67
7.595292  0.64
7.595793  0.56
7.596294  0.81
7.596795  0.54
7.597296  0.56
7.597797  0.69
7.598298  0.61
7.598799  0.76
7.599300  0.59
7.599802  0.61
7.600303  0.61
7.600804  0.73
7.601305  0.63
7.601806  0.72
7.602307  0.61
7.602809  0.61
7.603310  0.69
7.603810  0.64
7.604311  0.56
7.604812  0.70
7.605313  0.57
7.605814  0.70
7.606316  0.69
7.606817  0.63
7.607318  0.57
7.607819  0.57
7.608320  0.53
7.608821  0.59
7.609323  0.66
7.609824  0.76
7.610325  0.57
7.610826  0.56
7.611328  0.54
7.611829  0.67
7.612329  0.66
7.612830  0.67
7.613332  0.66
7.613834  0.72
7.614334  0.72
7.614835  0.57
7.615336  0.70
7.615837  0.61
7.616339  0.66
7.616839  0.72
7.617341  0.64
7.617842  0.67
7.618344  0.61
7.618845  0.72
7.619346  0.56
7.619847  0.54
7.620348  0.66
7.620849  0.63
7.621351  0.56
7.621853  0.75
7.622353  0.57
7.622855  0.61
7.623356  0.54
7.623858  0.61
7.624360  0.59
7.624861  0.42
7.625363  0.51
7.625865  0.64
7.626365  0.63
7.626867  0.63
7.627367  0.56
7.627868  0.50
7.628370  0.63
7.628870  0.39
7.629371  0.40
7.629873  0.56
7.630373  0.67
7.630874  0.48
7.631376  0.61
7.631877  0.66
7.632378  0.59
7.632878  0.56
7.633379  0.45
7.633880  0.59
7.634382  0.48
7.634882  0.67
7.635383  0.47
7.635885  0.56
7.636385  0.69
7.636886  0.45
7.637387  0.54
7.637888  0.42
7.638390  0.53
7.638891  0.44
7.639392  0.40
7.639893  0.57
7.640394  0.42
7.640895  0.44
7.641397  0.51
7.641898  0.42
7.642398  0.48
7.642899  0.44
7.643400  0.59
7.643901  0.57
7.644402  0.54
7.644903  0.50
7.645404  0.47
7.645905  0.42
7.646406  0.40
7.646907  0.59
7.647408  0.59
7.647909  0.45
7.648410  0.59
7.648912  0.48
7.649412  0.66
7.649913  0.33
7.650414  0.61
7.650915  0.51
7.651417  0.42
7.651919  0.47
7.652419  0.47
7.652920  0.47
7.653421  0.44
7.653923  0.54
7.654423  0.40
7.654924  0.45
7.655425  0.64
7.655926  0.50
7.656427  0.48
7.656928  0.44
7.657429  0.51
7.657931  0.47
7.658432  0.59
7.658933  0.48
7.659434  0.53
7.659935  0.64
7.660437  0.48
7.660937  0.63
7.661439  0.45
7.661939  0.63
7.662440  0.45
7.662941  0.44
7.663442  0.51
7.663943  0.61
7.664444  0.50
7.664945  0.57
7.665446  0.44
7.665947  0.53
7.666448  0.56
7.666949  0.44
7.667450  0.45
7.667952  0.48
7.668452  0.56
7.668954  0.57
7.669456  0.45
7.669958  0.47
7.670458  0.44
7.670959  0.36
7.671461  0.37
7.671961  0.36
7.672463  0.63
7.672963  0.48
7.673464  0.40
7.673966  0.45
7.674466  0.30
7.674967  0.40
7.675469  0.39
7.675970  0.50
7.676470  0.45
7.676972  0.42
7.677473  0.64
7.677974  0.42
7.678474  0.59
7.678975  0.56
7.679476  0.42
7.679978  0.42
7.680479  0.56
7.680980  0.54
7.681481  0.51
7.681983  0.50
7.682484  0.45
7.682984  0.61
7.683485  0.45
7.683986  0.53
7.684488  0.48
7.684988  0.57
7.685489  0.40
7.685991  0.50
7.686492  0.51
7.686993  0.44
7.687494  0.56
7.687995  0.51
7.688496  0.44
7.688997  0.51
7.689498  0.42
7.690000  0.61
7.690501  0.40
7.691002  0.57
7.691503  0.36
7.692005  0.48
7.692506  0.42
7.693006  0.45
7.693508  0.50
7.694009  0.54
7.694510  0.51
7.695012  0.57
7.695513  0.47
7.696014  0.57
7.696516  0.47
7.697016  0.50
7.697517  0.50
7.698018  0.39
7.698519  0.53
7.699020  0.34
7.699521  0.47
7.700022  0.59
7.700523  0.42
7.701025  0.50
7.701526  0.53
7.702027  0.61
7.702528  0.34
7.703030  0.53
7.703530  0.45
7.704031  0.47
7.704532  0.44
7.705033  0.56
7.705534  0.59
7.706036  0.44
7.706537  0.56
7.707039  0.45
7.707540  0.51
7.708042  0.59
7.708543  0.53
7.709045  0.63
7.709546  0.53
7.710048  0.54
7.710550  0.64
7.711051  0.57
7.711553  0.61
7.712054  0.56
7.712555  0.61
7.713056  0.59
7.713556  0.51
7.714058  0.50
7.714558  0.42
7.715059  0.51
7.715560  0.56
7.716061  0.53
7.716562  0.51
7.717064  0.64
7.717565  0.39
7.718066  0.42
7.718567  0.61
7.719068  0.53
7.719569  0.61
7.720070  0.45
7.720571  0.50
7.721072  0.45
7.721574  0.47
7.722075  0.42
7.722575  0.50
7.723076  0.53
7.723577  0.54
7.724078  0.53
7.724579  0.56
7.725080  0.45
7.725582  0.72
7.726083  0.54
7.726584  0.50
7.727085  0.63
7.727586  0.56
7.728088  0.56
7.728589  0.53
7.729089  0.45
7.729590  0.56
7.730091  0.69
7.730593  0.50
7.731094  0.61
7.731596  0.64
7.732096  0.56
7.732597  0.67
7.733098  0.56
7.733599  0.69
7.734101  0.54
7.734603  0.72
7.735103  0.61
7.735604  0.54
7.736106  0.50
7.736607  0.67
7.737108  0.59
7.737609  0.63
7.738111  0.64
7.738612  0.69
7.739113  0.54
7.739614  0.64
7.740115  0.51
7.740616  0.59
7.741117  0.66
7.741618  0.51
7.742120  0.61
7.742621  0.45
7.743122  0.64
7.743622  0.63
7.744123  0.59
7.744625  0.66
7.745125  0.69
7.745626  0.57
7.746127  0.54
7.746629  0.50
7.747129  0.59
7.747631  0.50
7.748131  0.70
7.748632  0.63
7.749133  0.64
7.749635  0.54
7.750135  0.59
7.750636  0.53
7.751137  0.61
7.751639  0.63
7.752139  0.54
7.752641  0.56
7.753141  0.54
7.753642  0.61
7.754143  0.63
7.754644  0.73
7.755145  0.51
7.755647  0.73
7.756147  0.54
7.756649  0.69
7.757149  0.42
7.757651  0.66
7.758151  0.83
7.758652  0.45
7.759154  0.63
7.759655  0.72
7.760155  0.61
7.760656  0.51
7.761157  0.57
7.761659  0.72
7.762160  0.63
7.762662  0.61
7.763163  0.56
7.763663  0.67
7.764165  0.53
7.764665  0.67
7.765167  0.67
7.765668  0.64
7.766169  0.73
7.766670  0.59
7.767171  0.69
7.767673  0.63
7.768174  0.66
7.768675  0.56
7.769177  0.61
7.769677  0.70
7.770178  0.54
7.770679  0.51
7.771181  0.51
7.771682  0.47
7.772183  0.48
7.772684  0.69
7.773185  0.57
7.773686  0.40
7.774188  0.56
7.774689  0.66
7.775190  0.50
7.775691  0.59
7.776192  0.64
7.776694  0.61
7.777195  0.64
7.777696  0.61
7.778197  0.54
7.778698  0.64
7.779200  0.67
7.779700  0.67
7.780201  0.67
7.780702  0.72
7.781203  0.64
7.781704  0.63
7.782205  0.66
7.782706  0.70
7.783207  0.59
7.783708  0.64
7.784209  0.54
7.784711  0.61
7.785211  0.61
7.785712  0.57
7.786214  0.66
7.786714  0.54
7.787215  0.63
7.787716  0.59
7.788218  0.59
7.788718  0.53
7.789220  0.56
7.789720  0.64
7.790222  0.63
7.790722  0.63
7.791224  0.66
7.791725  0.63
7.792226  0.64
7.792728  0.50
7.793229  0.70
7.793730  0.73
7.794231  0.59
7.794731  0.61
7.795232  0.45
7.795734  0.61
7.796234  0.56
7.796735  0.53
7.797236  0.53
7.797737  0.70
7.798239  0.40
7.798741  0.61
7.799242  0.53
7.799742  0.73
7.800244  0.72
7.800744  0.72
7.801246  0.54
7.801748  0.69
7.802249  0.63
7.802749  0.64
7.803250  0.57
7.803751  0.57
7.804252  0.63
7.804753  0.57
7.805255  0.61
7.805757  0.53
7.806259  0.56
7.806760  0.67
7.807261  0.59
7.807762  0.66
7.808264  0.63
7.808765  0.63
7.809267  0.61
7.809768  0.64
7.810268  0.53
7.810769  0.63
7.811271  0.50
7.811771  0.56
7.812272  0.59
7.812774  0.66
7.813274  0.70
7.813775  0.66
7.814277  0.69
7.814778  0.63
7.815279  0.69
7.815780  0.63
7.816282  0.54
7.816782  0.76
7.817283  0.54
7.817784  0.70
7.818285  0.63
7.818786  0.56
7.819287  0.76
7.819789  0.61
7.820289  0.66
7.820790  0.69
7.821292  0.56
7.821793  0.70
7.822294  0.50
7.822795  0.50
7.823297  0.80
7.823797  0.59
7.824298  0.51
7.824800  0.67
7.825300  0.48
7.825801  0.73
7.826303  0.51
7.826804  0.54
7.827304  0.64
7.827805  0.56
7.828306  0.72
7.828807  0.66
7.829308  0.61
7.829809  0.56
7.830310  0.64
7.830812  0.61
7.831312  0.63
7.831813  0.56
7.832315  0.53
7.832816  0.45
7.833316  0.64
7.833817  0.57
7.834319  0.57
7.834819  0.66
7.835320  0.67
7.835822  0.67
7.836323  0.69
7.836824  0.70
7.837325  0.61
7.837826  0.61
7.838327  0.53
7.838829  0.72
7.839330  0.51
7.839831  0.57
7.840331  0.64
7.840832  0.59
7.841334  0.63
7.841834  0.70
7.842335  0.44
7.842837  0.61
7.843338  0.45
7.843838  0.63
7.844339  0.56
7.844840  0.54
7.845342  0.53
7.845843  0.72
7.846345  0.66
7.846845  0.57
7.847346  0.54
7.847847  0.69
7.848348  0.66
7.848850  0.64
7.849351  0.75
7.849852  0.66
7.850353  0.70
7.850854  0.70
7.851355  0.63
7.851856  0.63
7.852357  0.63
7.852859  0.87
7.853359  0.73
7.853861  0.69
7.854361  0.64
7.854862  0.54
7.855364  0.66
7.855864  0.69
7.856365  0.70
7.856866  0.56
7.857367  0.56
7.857868  0.76
7.858369  0.56
7.858871  0.63
7.859371  0.69
7.859873  0.51
7.860373  0.69
7.860874  0.53
7.861375  0.63
7.861876  0.59
7.862377  0.51
7.862878  0.75
7.863379  0.56
7.863881  0.69
7.864382  0.56
7.864884  0.64
7.865384  0.56
7.865885  0.61
7.866386  0.78
7.866888  0.67
7.867389  0.73
7.867889  0.66
7.868390  0.51
7.868892  0.56
7.869393  0.54
7.869895  0.69
7.870395  0.63
7.870897  0.69
7.871397  0.69
7.871898  0.54
7.872399  0.73
7.872901  0.64
7.873402  0.63
7.873902  0.67
7.874403  0.59
7.874904  0.64
7.875405  0.51
7.875907  0.64
7.876409  0.73
7.876910  0.80
7.877411  0.51
7.877912  0.67
7.878413  0.59
7.878915  0.66
7.879416  0.67
7.879916  0.63
7.880417  0.66
7.880918  0.66
7.881419  0.66
7.881921  0.63
7.882421  0.57
7.882923  0.64
7.883425  0.66
7.883925  0.59
7.884427  0.72
7.884927  0.63
7.885429  0.61
7.885930  0.69
7.886431  0.63
7.886932  0.70
7.887434  0.66
